pkAddress,addressStreet,addressTown,addressStreet2,addressHouseNumber,addressPoBox,addressZip,addressCountry,addressGeoDataLongitude,addressGeoDataLatitude,fkRegion,fkCountry
231,"Steingatt","Essen",,"12",,"45289","Deutschland","7.1015289","51.4109957",,2
232,"Hausenstrasse","Meiringen",,"62",,"3860","Schweiz","8.17020","46.72863",,4
236,"Baumgartenstrasse","Alpnach Dorf",,"9",,"6055","Schweiz","8.2696502","46.9373689",,4
238,"Siedlerstrasse","Massenhausen",,"3a",,"85376","Deutschland","11.6369745","48.3467972",,2
243,"Alte Strasse","Reinach",,"32",,"5734","Schweiz","8.17939","47.25698",,4
244,"Hauptstrasse","Wolnzach",,"35","Geroldshausen","85283","Deutschland","11.6241262","48.5628918",,2
246,"Güterstrasse","Gretzenbach",,"6",,"5014","Schweiz","7.98982","47.36125",,4
256,"Schmalzgartenweg","Eislingen",,"10",,"73054","Deutschland","9.70796","48.70230",,2
257,"Meilibachweg","Horgen",,"2b",,"8810","Schweiz","8.59871","47.26009",,4
260,"Murggenstrasse","Nänikon",,"23",,"8606","Schweiz","8.68607","47.37126",,4
263,"Am Kirschendeich","Linkenheim-Hochstetten",,"1a",,"76351","Deutschland","8.40176","49.12587",,2
264,"Hans-Thoma-Strasse","Karlsbad",,"5",,"76307","Deutschland","8.50325","48.91110",,2
266,"Pilatusstrasse","Muri",,"1",,"5630","Schweiz","8.3474835","47.266175",,4
269,"Ganghoferstrasse","Deisenhofen bei München",,"5",,"82041","Deutschland","11.58541","48.01826",,2
271,"Grundstrasse","Horrenberg",,"18",,"69234","Deutschland","8.777275","49.279757",,2
272,"Ringstrasse","Parsberg",,"23",,"92331","Deutschland","11.72487","49.15667",,2
273,"Oberherrlinger Strasse","Blaustein",,"75",,"89134","Deutschland","9.8924935","48.426321",,2
274,"Christoph Kunz Olympiastrasse","Frutigen",,"10",,"3714","Schweiz","7.655561","46.589001",,4
275,"Mühlegasse","Baar",,"18",,"6340","Schweiz","8.526603","47.199667",,4
278,"Traubengasse","Weil am Rhein",,"24",,"79576","Deutschland","7.6304097","47.5912843",,2
279,"Wiclefstrasse","Berlin",,"2",,"10551","Deutschland","13.3407","52.53025",,2
280,"casa","Vicosoprano",,"93a",,"7603","Schweiz","9.6266802","46.3526587",,4
285,"Beundenring","Nidau",,"3a",,"2560","Schweiz","7.237163","47.118527",,4
286,"Landgrafenstrasse","Worms",,"13",,"67549","Deutschland","8.3254395","49.6343588",,2
288,"Oberdorf","Muttenz",,"7",,"4132","Schweiz","7.646716","47.521612",,4
292,"Tunvägen","Lund","
1) 223 63 Lund, Schweden
Genauigkeit / Typ: APPROXIMATE / postal_codeDetails Adressgegeocodierung
Koordinaten:
Dezimalgrad: 55.711664, 13.213882
55.711664, 13.213882","10",,"22363","Sweden","13.206715237512185","55.70642909448003",,6
294,"Kreuzgasse","Regensburg",,"1",,"93047","Deutschland","12.0891588","49.019472",,2
298,"Brunnenweid","Sins",,"29",,"5643","Schweiz","8.385714","47.199902",,4
301,"Hohlenbaumstrasse","Schaffhausen",,"190",,"8200","Schweiz","8.6259052","47.7083265",7,4
303,"Mittelstrasse","Rechenberg-Bienenmühle",,"35",,"09623","Deutschland","13.535510","50.738880",,2
304,"Rotbergerstrasse","Basel",,"17",,"4054","Schweiz","7.5775194","47.5487687",,4
305,"Sempachstrasse","Luzern",,"21",,"6003","Schweiz","8.3090527","47.0470338",10,4
307,"Kirchstrasse","Weiningen",,"7A",,"8104","Schweiz","8.4370055","47.4206264",,4
308,"Sulzstrasse","Goldach",,"25",,"9403","Schweiz","9.4700755","47.4729427",,4
309,"Huebstrasse","Wolfhausen",,"13",,"8633","Schweiz","8.7939097","47.2571216",,4
310,"Schützenstrasse","Thalwil",,"7",,"8800","Schweiz","8.563646","47.284804",,4
312,"Obere Gasse","Felsberg",,"14",,"7012","Schweiz","9.4699012","46.8458207",,4
313,"Landhofstrasse","Reichenburg",,"5c",,"8864","Schweiz","8.982113","47.171629",,4
315,"Im Höfli","Wollerau",,"13",,"8832","Schweiz","8.705074","47.201810",,4
316,"Hafnerstrasse","Zürich",,"45",,"8005","Schweiz","8.536259","47.382037",1,4
317,"Heppstraße","Reutlingen",,"90",,"72760","Deutschland","9.187990","48.500660",8,2
318,"Wallgässchen","Dresden",,"5",,"01097","Deutschland","13.74101","51.061816",,2
319,"Tübingerstraße","Leinfelden-Echterdingen",,"34",,"70771","Deutschland","9.162181","48.683818",,2
322,"Fanny von Lehnertstraße","Salzburg",,"35",,"5020","Österreich","13.044891","47.817038",,3
325,"Waldsängerpfad","Berlin",,"3 / links",,"14129","Deutschland","13.206700","52.436237",,2
326,"Schönbrunner Strasse","Landshut",,"20",,"84036","Deutschland","12.165526","48.538196",,2
327,"Hertistrasse","Brunnen",,"31",,"6440","Schweiz","8.6075732","47.0022148",,4
328,"Sonnfeldstrasse","Trimbach",,"8",,"4632","Schweiz","7.906039","47.360095",,4
331,"Doktor Karl Dorrstrasse","Brunn am Gebirge",,"6",,"2345","Österreich","16.294640","48.103948",,3
334,"Moosstrasse","Berikon",,"7",,"8965","Schweiz","8.381749","47.3477641",,4
335,"Körner Strasse","Gevelsberg",,"83",,"58285","Deutschland","7.336667","51.321710",,2
337,"Hintere Hofmatt","Schönau",,"9",,"79677","Deutschland","7.895615","47.787558",,2
338,"Seeweg","Allensbach",,"21",,"78476","Deutschland","9.0522639","47.7198792",,2
342,"Salzwasserweg","Gstaad",,"15a",,"3780","Schweiz","7.2733203","46.4824964",,4
343,"Dorfstrasse","Dietramszell",,"23",,"83623","Deutschland","11.53675","47.83588",,2
345,"Rudolf-Diesel-Strasse","Winterthur",,"5",,"8404","Schweiz","8.754587","47.495377",,4
347,"Friedhofweg","Ebersbach-Musbach",,"3",,"88371","Deutschland","9.5769487","47.9548855",,2
348,"Brunnenweg","Forchheim",,"1",,"91301","Deutschland","11.0968196","49.7177644",,2
349,"Neue Bruchstraße","Ettlingen",,"2a",,"76275","Deutschland","8.372820","48.924200",,2
350,"Im Alten Dorf","Seevetal (Fleestedt)",,"2",,"21217","Deutschland","9.9940954","53.408747",,2
351,"Westfalenstrasse","Troisdorf",,"51a",,"53844","Deutschland","7.1179742","50.811866",,2
355,"Im Breukel","Essen",,"8",,"45359","Deutschland","6.9028521","51.4770997",,2
356,"Gehrenstrasse","Horgen",,"15",,"8810","Schweiz","8.6040978","47.2538542",,4
357,"Brünnmatten","Ipsach",,"20",,"2563","Schweiz","7.232268","47.116584",,4
360,"Graf-Mirbach-Platz","Hillesheim",,"4 a",,"54576","Deutschland","6.67181","50.29062",,2
361,"Heesenstraße","Düsseldorf",,"121",,"40549","Deutschland","6.712178","51.227667",,
362,"Benzburweg","Liestal",,"18",,"4410","Schweiz","7.7419174","47.4754525",,
364,"Nord","Walzenhausen",,"21",,"9428","Schweiz","9.596880","47.450357",,
366,"Im Tal","Bretten",,"1",,"75015","Deutschland","8.6795399","49.0679458",,
367,"Wiesenstrasse","Bern 22",,"70",,"3000","Schweiz","7.4587355","46.9611285",,
368,"Schützenwiesweg","Uzwil",,"4",,"9240","Schweiz","9.137803","47.436040",,
374,"Hauptstrasse","Emmingen-Liptingen",,"40",,"78576","Deutschland","8.851160","47.929590",,
375,"Aachener Str.","Düsseldorf",,"26",,"40223","Deutschland","6.775809","51.206446",,
377,"Oberneuhofstrasse","Baar",,"11",,"6340","Schweiz","8.516840","47.187444",,
378,"Breitwies","Ehrendingen",,"22",,"5420","Schweiz","8.3410538","47.4910244",,
379,"Frankenring","Krefeld",,"43",,"47798","Deutschland","6.552729","51.326866",,
381,"Mühlestrasse","Obfelden",,"4e",,"8912","Schweiz","8.411361","47.263873",,
384,"Berner Strasse","München",,"47",,"81476","Deutschland","11.492930","48.095440",,
385,"Heiligenstädter Strasse","Wien",,"159",,"1190","Österreich","16.365449","48.255100",,
387,"Alpsteinstrasse","Herisau",,"39",,"9100","Schweiz","9.280949","47.375213",,
388,"Siemensstraße","Rödermark",,"16",,"63322","Deutschland","8.797465","49.980877",,
389,"Stallikonerstrasse","Birmensdorf",,"52",,"8903","Schweiz","8.444794","47.355840",,
